"HostOrder","Year","Discovered","VirusFamily","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Primates",1967,1,"Reoviridae",27,12,38,0.341878139947475,0.0665408636018034,0.227727600177628,0.335791188436425,0.488295433851407,0.186977254916767,0.665800196192407,0.194633279600815,0.00442768652887381,"1930"
"Primates",1968,1,"Arteriviridae",27,13,39,0.34261102613413,0.066322549532737,0.228442898687462,0.336347215048262,0.488220201852553,0.18855516335452,0.66121323117677,0.193579728828611,0.00439868057652235,"1930"
"Primates",1969,2,"Filoviridae, Rhabdoviridae",27,15,40,0.343368498920612,0.0662291361797808,0.230437128236187,0.336641769743129,0.491166778752302,0.190095123623836,0.656657867605792,0.192880641025528,0.00438629847911995,"1930"
"Primates",1970,1,"Parvoviridae",27,16,41,0.344150701962384,0.0662624712818864,0.229939768491514,0.338029052849139,0.496091914011945,0.19164766099573,0.652133887764428,0.192539114126604,0.00439071510038282,"1930"
"Primates",1971,0,"NA",27,16,42,0.3449577839776,0.0664238308854741,0.231112204090032,0.339049448601964,0.496483345614362,0.193212878189416,0.647641075437556,0.192556405365206,0.00441212530950206,"1930"
"Primates",1972,0,"NA",27,16,43,0.345789898795427,0.066713899331977,0.231233369499142,0.339733066931423,0.496540393031008,0.194790878763033,0.643179215899648,0.192931891776994,0.00445074436407716,"1930"
"Primates",1973,0,"NA",27,16,44,0.34664720540606,0.0671327663992602,0.230676034004744,0.340217276712239,0.496236580574035,0.195433091866035,0.642952123030671,0.193663082673986,0.00450680832441764,"1930"
"Primates",1974,2,"Coronaviridae, Hepadnaviridae",27,18,45,0.347529868012458,0.0676799416376993,0.230834572264765,0.341149282376033,0.498373807378887,0.195894317970881,0.652716338360994,0.194745683370366,0.00458057450008238,"1930"
"Primates",1975,1,"Arenaviridae",27,19,46,0.348438056083824,0.0683543848599871,0.231425068963787,0.341728276645091,0.498941752727571,0.195717482313493,0.662628838295414,0.196173706248502,0.00467232192958723,"1930"
"Primates",1976,0,"NA",27,19,47,0.349371944410863,0.069154550785005,0.229266948052214,0.341982212398046,0.502933794688378,0.194577920414093,0.672691874763355,0.197939622489203,0.00478235189427583,"1930"
"Primates",1977,0,"NA",27,19,48,0.350331713162819,0.0700784450984328,0.230403109552835,0.343253135697391,0.506193831267774,0.193444993595561,0.68290773389325,0.200034545733128,0.00491098846741406,"1930"
"Primates",1978,0,"NA",27,19,49,0.351317547946344,0.0711236887375617,0.230295999534264,0.343982014302859,0.511140814554214,0.192318663225246,0.6932787365319,0.202448437754735,0.00505857909963756,"1930"
"Primates",1979,0,"NA",27,19,50,0.352329639866211,0.0722875870530523,0.228901337201484,0.344614733369656,0.514149700022007,0.191198890895435,0.70380723877173,0.20517032594959,0.00522549524195262,"1930"
"Primates",1980,0,"NA",27,19,51,0.353368185587897,0.0735672006234094,0.227455210109736,0.34568339775,0.517285428118206,0.19008563842204,0.714495632486046,0.208188522973611,0.00541213300756496,"1930"
