"Year","NumPubs","Host","Note"
2016,1,"Alticola argentatus",""
2018,1,"Alticola argentatus",""
1974,1,"Ammospermophilus nelsoni",""
1976,1,"Ammospermophilus nelsoni",""
1968,1,"Ammotragus lervia",""
1970,4,"Ammotragus lervia",""
1972,1,"Ammotragus lervia",""
1979,2,"Ammotragus lervia",""
1980,3,"Ammotragus lervia",""
1981,2,"Ammotragus lervia",""
1983,2,"Ammotragus lervia",""
1987,1,"Ammotragus lervia",""
1988,2,"Ammotragus lervia",""
1990,1,"Ammotragus lervia",""
1996,1,"Ammotragus lervia",""
2000,4,"Ammotragus lervia",""
2003,1,"Ammotragus lervia",""
2004,2,"Ammotragus lervia",""
2005,2,"Ammotragus lervia",""
2006,4,"Ammotragus lervia",""
2007,3,"Ammotragus lervia",""
2008,1,"Ammotragus lervia",""
2009,3,"Ammotragus lervia",""
2010,1,"Ammotragus lervia",""
2011,3,"Ammotragus lervia",""
2012,2,"Ammotragus lervia",""
2013,2,"Ammotragus lervia",""
2014,1,"Ammotragus lervia",""
2015,1,"Ammotragus lervia",""
2016,3,"Ammotragus lervia",""
2017,3,"Ammotragus lervia",""
2018,3,"Ammotragus lervia",""
2019,2,"Ammotragus lervia",""
2020,3,"Ammotragus lervia",""
1984,1,"Anoura caudifer",""
1989,1,"Anoura caudifer",""
2002,1,"Anoura caudifer",""
2003,1,"Anoura caudifer",""
2007,1,"Anoura caudifer",""
2011,1,"Anoura caudifer",""
2012,1,"Anoura caudifer",""
2015,1,"Anoura caudifer",""
2019,1,"Anoura caudifer",""
1992,1,"Anoura geoffroyi",""
1994,1,"Anoura geoffroyi",""
1996,1,"Anoura geoffroyi",""
2003,1,"Anoura geoffroyi",""
2005,1,"Anoura geoffroyi",""
2007,1,"Anoura geoffroyi",""
2008,1,"Anoura geoffroyi",""
2009,1,"Anoura geoffroyi",""
2013,1,"Anoura geoffroyi",""
2014,2,"Anoura geoffroyi",""
2015,1,"Anoura geoffroyi",""
2017,1,"Anoura geoffroyi",""
2018,1,"Anoura geoffroyi",""
2019,2,"Anoura geoffroyi",""
1971,1,"Antidorcas marsupialis",""
1979,1,"Antidorcas marsupialis",""
1981,1,"Antidorcas marsupialis",""
1982,3,"Antidorcas marsupialis",""
1983,2,"Antidorcas marsupialis",""
1984,1,"Antidorcas marsupialis",""
1985,1,"Antidorcas marsupialis",""
1988,1,"Antidorcas marsupialis",""
1992,1,"Antidorcas marsupialis",""
