Year,NumPubs,Host,Note
2001,1,allochrocebus lhoesti,
2003,1,allochrocebus lhoesti,
2004,1,allochrocebus lhoesti,
2005,2,allochrocebus lhoesti,
2006,1,allochrocebus lhoesti,
2007,1,allochrocebus lhoesti,
2011,1,allochrocebus lhoesti,
2012,1,allochrocebus lhoesti,
2013,1,allochrocebus lhoesti,
2014,1,allochrocebus lhoesti,
2019,1,allochrocebus lhoesti,
2013,1,allochrocebus preussi,
1998,1,allochrocebus solatus,
1999,2,allochrocebus solatus,
2001,1,allochrocebus solatus,
2002,1,allochrocebus solatus,
2011,1,allochrocebus solatus,
2012,1,allochrocebus solatus,
2015,1,allochrocebus solatus,
2016,1,allochrocebus solatus,
2018,1,allochrocebus solatus,
2013,1,allocricetulus eversmanni,
2015,1,allocricetulus eversmanni,
2016,1,allocricetulus eversmanni,
1970,1,alouatta belzebul,
1981,1,alouatta belzebul,
1987,1,alouatta belzebul,
1989,1,alouatta belzebul,
1991,1,alouatta belzebul,
1994,1,alouatta belzebul,
1998,1,alouatta belzebul,
2000,2,alouatta belzebul,
2001,1,alouatta belzebul,
2002,2,alouatta belzebul,
2003,1,alouatta belzebul,
2004,1,alouatta belzebul,
2006,1,alouatta belzebul,
2007,2,alouatta belzebul,
2008,1,alouatta belzebul,
2010,2,alouatta belzebul,
2011,2,alouatta belzebul,
2013,2,alouatta belzebul,
2015,1,alouatta belzebul,
2016,2,alouatta belzebul,
2020,5,alouatta belzebul,
1965,1,alouatta caraya,
1966,9,alouatta caraya,
1967,1,alouatta caraya,
1968,4,alouatta caraya,
1970,1,alouatta caraya,
1973,2,alouatta caraya,
1976,3,alouatta caraya,
1977,1,alouatta caraya,
1978,3,alouatta caraya,
1980,1,alouatta caraya,
1981,1,alouatta caraya,
1983,1,alouatta caraya,
1984,1,alouatta caraya,
1986,1,alouatta caraya,
1989,1,alouatta caraya,
1990,2,alouatta caraya,
1992,1,alouatta caraya,
1993,2,alouatta caraya,
1994,2,alouatta caraya,
1995,3,alouatta caraya,
1996,1,alouatta caraya,
1998,4,alouatta caraya,
1999,1,alouatta caraya,
2000,2,alouatta caraya,
2001,3,alouatta caraya,
2002,1,alouatta caraya,
2003,4,alouatta caraya,
2004,7,alouatta caraya,
2005,2,alouatta caraya,
2006,6,alouatta caraya,
2007,8,alouatta caraya,
2008,9,alouatta caraya,
2009,3,alouatta caraya,
2010,10,alouatta caraya,
2011,5,alouatta caraya,
2012,3,alouatta caraya,
2013,6,alouatta caraya,
2014,8,alouatta caraya,
2015,2,alouatta caraya,
2016,9,alouatta caraya,
2017,5,alouatta caraya,
2018,6,alouatta caraya,
2019,4,alouatta caraya,
2020,8,alouatta caraya,
2021,1,alouatta caraya,
2002,1,alouatta guariba,
2004,1,alouatta guariba,
2007,4,alouatta guariba,
2008,6,alouatta guariba,
2009,2,alouatta guariba,
2010,5,alouatta guariba,
2011,3,alouatta guariba,
2012,2,alouatta guariba,
2014,1,alouatta guariba,
2015,4,alouatta guariba,
2016,5,alouatta guariba,
2017,4,alouatta guariba,
2018,7,alouatta guariba,
2019,5,alouatta guariba,
2020,10,alouatta guariba,
1991,1,alouatta macconnelli,
2000,1,alouatta macconnelli,
2001,1,alouatta macconnelli,
2003,1,alouatta macconnelli,
2007,1,alouatta macconnelli,
2014,2,alouatta macconnelli,
2017,2,alouatta macconnelli,
2020,2,alouatta macconnelli,
1955,1,alouatta palliata,
1960,1,alouatta palliata,
1972,1,alouatta palliata,
1973,1,alouatta palliata,
1975,2,alouatta palliata,
1976,2,alouatta palliata,
1977,1,alouatta palliata,
1978,1,alouatta palliata,
