"Year","NumPubs","Host","Note","VirusRelated"
2005,1,"Apodemus sylvaticus","",TRUE
2006,1,"Apodemus sylvaticus","",TRUE
2007,1,"Apodemus sylvaticus","",TRUE
2008,1,"Apodemus sylvaticus","",TRUE
2009,5,"Apodemus sylvaticus","",TRUE
2010,2,"Apodemus sylvaticus","",TRUE
2011,5,"Apodemus sylvaticus","",TRUE
2012,3,"Apodemus sylvaticus","",TRUE
2013,1,"Apodemus sylvaticus","",TRUE
2014,3,"Apodemus sylvaticus","",TRUE
2015,2,"Apodemus sylvaticus","",TRUE
2016,2,"Apodemus sylvaticus","",TRUE
2017,2,"Apodemus sylvaticus","",TRUE
2018,1,"Apodemus sylvaticus","",TRUE
2019,3,"Apodemus sylvaticus","",TRUE
2020,1,"Apodemus sylvaticus","",TRUE
1978,2,"Apodemus uralensis","",TRUE
1979,2,"Apodemus uralensis","",TRUE
1981,1,"Apodemus uralensis","",TRUE
1982,1,"Apodemus uralensis","",TRUE
1983,1,"Apodemus uralensis","",TRUE
1987,1,"Apodemus uralensis","",TRUE
1990,1,"Apodemus uralensis","",TRUE
1994,2,"Apodemus uralensis","",TRUE
1997,1,"Apodemus uralensis","",TRUE
1999,1,"Apodemus uralensis","",TRUE
2002,1,"Apodemus uralensis","",TRUE
2003,1,"Apodemus uralensis","",TRUE
2004,1,"Apodemus uralensis","",TRUE
2006,3,"Apodemus uralensis","",TRUE
2008,2,"Apodemus uralensis","",TRUE
2009,1,"Apodemus uralensis","",TRUE
2010,2,"Apodemus uralensis","",TRUE
2011,2,"Apodemus uralensis","",TRUE
2012,3,"Apodemus uralensis","",TRUE
2013,1,"Apodemus uralensis","",TRUE
2014,2,"Apodemus uralensis","",TRUE
2015,1,"Apodemus uralensis","",TRUE
2016,1,"Apodemus uralensis","",TRUE
2017,4,"Apodemus uralensis","",TRUE
2018,3,"Apodemus uralensis","",TRUE
2019,3,"Apodemus uralensis","",TRUE
2020,3,"Apodemus uralensis","",TRUE
2009,1,"Arctocephalus australis","",TRUE
2015,1,"Arctocephalus australis","",TRUE
2016,2,"Arctocephalus australis","",TRUE
2013,1,"Arctocephalus forsteri","",TRUE
2018,0,"Arctocephalus galapagoensis","No publications",TRUE
2005,1,"Artibeus fimbriatus","",TRUE
2017,1,"Artibeus fimbriatus","",TRUE
1977,1,"Artibeus jamaicensis","",TRUE
1978,3,"Artibeus jamaicensis","",TRUE
1979,1,"Artibeus jamaicensis","",TRUE
2001,1,"Artibeus jamaicensis","",TRUE
2008,1,"Artibeus jamaicensis","",TRUE
2012,3,"Artibeus jamaicensis","",TRUE
2013,1,"Artibeus jamaicensis","",TRUE
2014,2,"Artibeus jamaicensis","",TRUE
2016,1,"Artibeus jamaicensis","",TRUE
2017,4,"Artibeus jamaicensis","",TRUE
2018,1,"Artibeus jamaicensis","",TRUE
2019,1,"Artibeus jamaicensis","",TRUE
2020,2,"Artibeus jamaicensis","",TRUE
1977,1,"Artibeus lituratus","",TRUE
1978,2,"Artibeus lituratus","",TRUE
1997,1,"Artibeus lituratus","",TRUE
2004,1,"Artibeus lituratus","",TRUE
2006,1,"Artibeus lituratus","",TRUE
2007,1,"Artibeus lituratus","",TRUE
2009,1,"Artibeus lituratus","",TRUE
2010,1,"Artibeus lituratus","",TRUE
2011,1,"Artibeus lituratus","",TRUE
2012,1,"Artibeus lituratus","",TRUE
2013,1,"Artibeus lituratus","",TRUE
2014,1,"Artibeus lituratus","",TRUE
2017,3,"Artibeus lituratus","",TRUE
2018,1,"Artibeus lituratus","",TRUE
2019,3,"Artibeus lituratus","",TRUE
1978,1,"Artibeus planirostris","",TRUE
2013,2,"Artibeus planirostris","",TRUE
2016,1,"Artibeus planirostris","",TRUE
2017,2,"Artibeus planirostris","",TRUE
2018,1,"Artibeus planirostris","",TRUE
2019,1,"Artibeus planirostris","",TRUE
2020,3,"Artibeus planirostris","",TRUE
2018,0,"Arvicanthis neumanni","No publications",TRUE
1967,1,"Arvicanthis niloticus","",TRUE
1987,1,"Arvicanthis niloticus","",TRUE
2000,1,"Arvicanthis niloticus","",TRUE
2003,1,"Arvicanthis niloticus","",TRUE
2007,1,"Arvicanthis niloticus","",TRUE
1967,1,"Arvicola amphibius","",TRUE
1976,1,"Arvicola amphibius","",TRUE
1989,1,"Arvicola amphibius","",TRUE
1996,1,"Arvicola amphibius","",TRUE
1997,1,"Arvicola amphibius","",TRUE
2008,1,"Arvicola amphibius","",TRUE
