"Host","Synonym"
"puma yagouaroundi","herpailurus yaguarondi"
"pusa caspica","pusa caspica"
"pusa caspica","phoca caspica"
"pusa caspica","phoca vitulina caspica"
"pusa hispida","pusa hispida"
"pusa hispida","phoca hispida"
"pusa sibirica","pusa sibirica"
"pusa sibirica","phoca sibirica"
"pusa sibirica","phoca vitulina sibirica"
"pusa sibirica","phoca baicalensis"
"pygathrix nemaeus","pygathrix nemaeus"
"pygathrix nigripes","pygathrix nigripes"
"pygathrix nigripes","presbytis nemaeus moi"
"rangifer tarandus","rangifer tarandus"
"raphicerus campestris","raphicerus campestris"
"raphicerus sharpei","raphicerus sharpei"
"rattus andamanensis","rattus andamanensis"
"rattus andamanensis","rattus sikkimensis"
"rattus andamanensis","mus burrulus"
"rattus andamanensis","mus flebilis"
"rattus andamanensis","rattus rattus hainanicus"
"rattus andamanensis","rattus rattus holchu"
"rattus andamanensis","epimys rattus klumensis"
"rattus andamanensis","rattus rattus koratensis"
"rattus andamanensis","epimys rattus kraensis"
"rattus andamanensis","rattus rattus sikkimensis"
"rattus andamanensis","rattus confucianus yaoshanensis"
"rattus annandalei","rattus annandalei"
"rattus annandalei","mus bullatus"
"rattus annandalei","mus villosus"
"rattus argentiventer","rattus argentiventer"
"rattus argentiventer","rattus hoxaensis"
"rattus argentiventer","rattus pesticulus"
"rattus argentiventer","rattus rattus bali"
"rattus argentiventer","rattus rattus brevicaudatus"
"rattus argentiventer","rattus rattus chaseni"
"rattus argentiventer","rattus rattus saturnus"
"rattus argentiventer","rattus rattus umbriventer"
"rattus exulans","rattus exulans"
"rattus exulans","mus aemuli"
"rattus exulans","epimys basilanus"
"rattus exulans","mus bocourti"
"rattus exulans","mus buruensis"
"rattus exulans","epimys calcis"
"rattus exulans","mus clabatus"
"rattus exulans","mus concolor"
"rattus exulans","mus ephippium"
"rattus exulans","epimys leucophaetus"
"rattus exulans","mus luteiventris"
"rattus exulans","epimys mayonicus"
"rattus exulans","togomys melanoderma"
"rattus exulans","mus obscurus"
"rattus exulans","epimys ornatulus"
"rattus exulans","mus pantarensis"
"rattus exulans","mus pullus"
"rattus exulans","epimys querceti"
"rattus exulans","rattus raveni"
"rattus exulans","rattus schuitemakeri"
"rattus exulans","epimys stragulum"
"rattus exulans","mus surdus"
"rattus exulans","mus todayensis"
"rattus exulans","epimys vigoratus"
"rattus exulans","mus wichmanni"
"rattus exulans","mus vulcani apicus"
"rattus exulans","rattus concolor equile"
"rattus exulans","rattus raveni eurous"
"rattus exulans","rattus concolor malengiensis"
"rattus exulans","rattus concolor meringgit"
"rattus exulans","mus ephippium negrinus"
"rattus exulans","rattus concolor otteni"
"rattus exulans","rattus concolor solatus"
"rattus flavipectus","lookup fail"
"rattus fuscipes","rattus fuscipes"
"rattus fuscipes","mus assimilis"
"rattus fuscipes","rattus glauerti"
"rattus fuscipes","mus greyii"
"rattus fuscipes","mus manicatus"
"rattus fuscipes","mus murrayi"
"rattus fuscipes","rattus assimilis coracius"
"rattus fuscipes","rattus greyi ravus"
"rattus fuscipes","rattus greyi pelori"
"rattus fuscipes","rattus greyi peccatus"
"rattus hoffmanni","rattus hoffmanni"
"rattus hoffmanni","rattus biformatus"
"rattus hoffmanni","rattus mollicomus"
"rattus hoffmanni","rattus tatei"
"rattus hoffmanni","mus rattus celebensis"
"rattus hoffmanni","rattus hoffmanni linduensis"
"rattus hoffmanni","rattus hoffmani mengkoka"
"rattus leucopus","rattus leucopus"
"rattus leucopus","hapalotis personata"
"rattus leucopus","mus terra-reginae"
"rattus leucopus","rattus leucopus cooktownensis"
"rattus leucopus","rattus leucopus mcilwraithi"
"rattus losea","rattus losea"
"rattus losea","rattus sakeratensis"
"rattus losea","rattus rattus exiguus"
"rattus lutreolus","rattus lutreolus"
"rattus lutreolus","rattus lacus"
"rattus lutreolus","mus tetragonurus"
"rattus lutreolus","mus vellerosus"
"rattus lutreolus","mus velutinus"
"rattus lutreolus","rattus lutreolus imbil"
"rattus lutreolus","rattus lutreolus cambricus"
"rattus nitidus","rattus nitidus"
"rattus nitidus","rattus aequicaudalis"
"rattus nitidus","mus guhai"
"rattus nitidus","mus horeites"
"rattus nitidus","rattus manuselae"
"rattus nitidus","mus rubricosa"
"rattus nitidus","rattus nitidus obsoletus"
"rattus nitidus","rattus griseiventer rahengis"
"rattus nitidus","rattus hoffmani subditivus"
"rattus norvegicus","rattus norvegicus"
"rattus norvegicus","mus caraco"
"rattus norvegicus","mus caspius"
"rattus norvegicus","mus decumanoides"
"rattus norvegicus","mus decumanus"
"rattus norvegicus","mus griseipectus"
"rattus norvegicus","mus hibernicus"
"rattus norvegicus","mus humiliatus"
"rattus norvegicus","mus javanus"
"rattus norvegicus","mus magnirostris"
"rattus norvegicus","mus maniculatus"
"rattus norvegicus","mus maurus"
"rattus norvegicus","mus ouangthomae"
"rattus norvegicus","mus plumbeus"
"rattus norvegicus","mus surmolottus"
"rattus norvegicus","rattus norvegicus albus"
"rattus norvegicus","mus sylvaticus discolor"
"rattus norvegicus","mus decumanus hybridus"
"rattus norvegicus","rattus humiliatus insolatus"
"rattus norvegicus","mus decumanus major"
"rattus norvegicus","rattus norvegicus otomoi"
"rattus norvegicus","mus norvegicus praestans"
"rattus norvegicus","rattus norvegicus primarius"
"rattus norvegicus","epimys norvegicus socer"
"rattus norvegicus","rattus humiliatus sowerbyi"
"rattus pyctoris","rattus pyctoris"
"rattus pyctoris","rattus turkestanicus"
"rattus pyctoris","mus rattoides"
"rattus pyctoris","mus turkestanicus"
"rattus pyctoris","mus vicerex"
"rattus pyctoris","rattus humiliatus celsus"
"rattus pyctoris","rattus rattus khumbuensis"
"rattus pyctoris","epimys rattus shigarus"
"rattus rattus","rattus rattus"
"rattus rattus","mus alexandrinorattus"
"rattus rattus","mus alexandrinus"
"rattus rattus","mus alexandrinus"
"rattus rattus","mus arboreus"
"rattus rattus","hapalotis arboricola"
"rattus rattus","mus asiaticus"
"rattus rattus","mus atratus"
"rattus rattus","mus atridorsum"
"rattus rattus","mus ceylonus"
"rattus rattus","epimys chionogaster"
"rattus rattus","mus crassipes"
"rattus rattus","rattus domesticus"
"rattus rattus","mus erythronotus"
"rattus rattus","mus flavescens"
"rattus rattus","mus flaviventris"
"rattus rattus","musculus frugivorus"
"rattus rattus","mus galapagoensis"
"rattus rattus","mus griseocaeruleus"
"rattus rattus","mus infralineatus"
"rattus rattus","mus insularis"
"rattus rattus","mus jujensis"
"rattus rattus","mus kandianus"
"rattus rattus","mus kandiyanus"
"rattus rattus","epimys kelaarti"
"rattus rattus","mus kijabius"
"rattus rattus","mus latipes"
"rattus rattus","mus leucogaster"
"rattus rattus","mus muansae"
"rattus rattus","mus nemoralis"
"rattus rattus","mus novaezelandiae"
"rattus rattus","mus picteti"
"rattus rattus","mus rufescens"
"rattus rattus","mus samharensis"
"rattus rattus","myoxus siculae"
"rattus rattus","mus subcaeruleus"
"rattus rattus","mus sylvestris"
"rattus rattus","mus tectorum"
"rattus rattus","mus tetragonurus"
"rattus rattus","mus tompsoni"
"rattus rattus","mus variabilis"
"rattus rattus","rattus domesticus albus"
"rattus rattus","rattus domesticus ater"
"rattus rattus","mus rattus ater"
"rattus rattus","mus rattus brookei"
"rattus rattus","rattus rattus chionogaster"
"rattus rattus","mus tectorum fuliginosus"
"rattus rattus","rattus domesticus fulvaster"
"rattus rattus","rattus domesticus fuscus"
"rattus rattus","rattus rattus girensis"
"rattus rattus","mus rattus intermedius"
"rattus rattus","mus rattus jurassicus"
"rattus rattus","rattus norvegicus longicaudus"
"rattus rattus","rattus rattus narbadae"
"rattus rattus","rattus rattus nericola"
"rattus rattus","rattus rattus ruthenus"
"rattus rattus","rattus rattus sueirensis"
"rattus rattus","rattus domesticus varius"
"rattus rattus","rattus rattus wroughtoni"
"rattus sordidus","rattus sordidus"
"rattus sordidus","rattus brachyrhinus"
"rattus sordidus","rattus conatus"
"rattus sordidus","rattus youngi"
"rattus sordidus","rattus gestri bunae"
"rattus sordidus","rattus sordidus gestroi"
"rattus tanezumi","rattus tanezumi"
"rattus tanezumi","epimys benguetensis"
"rattus tanezumi","mus brunneus"
"rattus tanezumi","mus brunneusculus"
"rattus tanezumi","mus canna"
"rattus tanezumi","epimys coloratus"
"rattus tanezumi","rattus dammermani"
"rattus tanezumi","mus diardii"
"rattus tanezumi","mus flavipectus"
"rattus tanezumi","rattus germaini"
"rattus tanezumi","mus kelleri"
"rattus tanezumi","rattus lalolis"
"rattus tanezumi","rattus macmillani"
"rattus tanezumi","rattus masaretes"
"rattus tanezumi","mus mindanensis"
"rattus tanezumi","rattus molliculus"
"rattus tanezumi","mus neglectus"
"rattus tanezumi","mus nemoralis"
"rattus tanezumi","mus ouangthomae"
"rattus tanezumi","rattus palelae"
"rattus tanezumi","mus pannosus"
"rattus tanezumi","mus pulliventer"
"rattus tanezumi","epimys robiginosus"
"rattus tanezumi","mus robustulus"
"rattus tanezumi","rattus sapoensis"
"rattus tanezumi","mus sladeni"
"rattus tanezumi","rattus toxi"
"rattus tanezumi","mus yunnanensis"
"rattus tanezumi","mus zamboangae"
"rattus tanezumi","mus tanezumi"
"rattus tanezumi","rattus rattus alangensis"
"rattus tanezumi","rattus rattus amboinensis"
"rattus tanezumi","rattus rattus argyraceus"
"rattus tanezumi","rattus rattus auroreus"
"rattus tanezumi","rattus rattus barussanoides"
"rattus tanezumi","rattus rattus bhotia"
"rattus tanezumi","rattus rattus bullocki"
"rattus tanezumi","epimys rattus dentatus"
"rattus tanezumi","epimys rattus exsul"
"rattus tanezumi","epimys rattus fortunatus"
"rattus tanezumi","rattus rattus gangutrianus"
"rattus tanezumi","epimys rattus insulanus"
"rattus tanezumi","rattus rattus kadanus"
"rattus tanezumi","rattus rattus khyensis"
"rattus tanezumi","rattus rattus kramensis"
"rattus tanezumi","rattus rattus lanensis"
"rattus tanezumi","rattus rattus lontaris"
"rattus tanezumi","rattus rattus makassarius"
"rattus tanezumi","epimys rattus makensis"
"rattus tanezumi","rattus rattus mesanis"
"rattus tanezumi","rattus rattus moheius"
"rattus tanezumi","rattus rattus moluccarius"
"rattus tanezumi","rattus rattus obiensis"
"rattus tanezumi","rattus rattus palembang"
"rattus tanezumi","rattus rattus panjius"
"rattus tanezumi","rattus rattus pelengensis"
"rattus tanezumi","rattus rattus pipidonis"
"rattus tanezumi","epimys rattus poenitentiarii"
"rattus tanezumi","epimys rattus portus"
"rattus tanezumi","epimys rattus rangensis"
"rattus tanezumi","rattus rattus robinsoni"
"rattus tanezumi","rattus rattus samati"
"rattus tanezumi","rattus rattus santalum"
"rattus tanezumi","rattus rattus septicus"
"rattus tanezumi","rattus rattus sumbae"
"rattus tanezumi","rattus mindanensis tablasi"
"rattus tanezumi","rattus rattus talaudensis"
"rattus tanezumi","rattus rattus tatkonensis"
"rattus tanezumi","rattus rattus thai"
"rattus tanezumi","rattus rattus tikos"
"rattus tanezumi","rattus rattus tistae"
"rattus tanezumi","epimys rattus turbidus"
"rattus tanezumi","rattus rattus yeni"
"rattus tiomanicus","rattus tiomanicus"
"rattus tiomanicus","mus jalorensis"
"rattus tiomanicus","mus jarak"
"rattus tiomanicus","mus julianus"
"rattus tiomanicus","epimys maerens"
"rattus tiomanicus","epimys mara"
"rattus tiomanicus","epimys roa"
"rattus tiomanicus","mus siantanicus"
"rattus tiomanicus","mus tambelanicus"
"rattus tiomanicus","epimys tingius"
"rattus tiomanicus","epimys tua"
"rattus tiomanicus","rattus rattus ambersoni"
"rattus tiomanicus","rattus rattus banguei"
"rattus tiomanicus","rattus rattus batin"
"rattus tiomanicus","rattus rattus delirius"
"rattus tiomanicus","rattus rattus generatius"
"rattus tiomanicus","rattus rattus jemuris"
"rattus tiomanicus","rattus rattus kabanicus"
"rattus tiomanicus","epimys neglectus lamucotanus"
"rattus tiomanicus","rattus rattus lasurius"
"rattus tiomanicus","rattus rattus luxuriosus"
"rattus tiomanicus","rattus rattus mangalumis"
"rattus tiomanicus","epimys rattus pauper"
"rattus tiomanicus","rattus rattus payanus"
"rattus tiomanicus","rattus rattus pemanggis"
"rattus tiomanicus","rattus rattus perhentianus"
"rattus tiomanicus","rattus rattus pharus"
"rattus tiomanicus","rattus rattus piperis"
"rattus tiomanicus","mus rattus rhionis"
"rattus tiomanicus","rattus rattus roquei"
"rattus tiomanicus","mus rattus rumpia"
"rattus tiomanicus","rattus rattus sebasianus"
"rattus tiomanicus","rattus rattus sribuatensis"
"rattus tiomanicus","rattus rattus terutavensis"
"rattus tiomanicus","rattus rattus vernalus"
"rattus tiomanicus","epimys rattus viclana"
"rattus xanthurus","rattus xanthurus"
"rattus xanthurus","mus faberi"
"rattus xanthurus","taeromys paraxanthus"
"ratufa bicolor","lookup fail"
"redunca arundinum","redunca arundinum"
"redunca fulvorufula","redunca fulvorufula"
"redunca redunca","redunca redunca"
"reithrodontomys creper","reithrodontomys creper"
"reithrodontomys fulvescens","reithrodontomys fulvescens"
"reithrodontomys fulvescens","rhithrodontomys amoenus"
"reithrodontomys fulvescens","reithrodontomys chrysotis"
"reithrodontomys fulvescens","reithrodontomys difficilis"
"reithrodontomys fulvescens","reithrodontomys griseoflavus"
"reithrodontomys fulvescens","reithrodontomys inexspectatus"
"reithrodontomys fulvescens","reithrodontomys laceyi"
"reithrodontomys fulvescens","reithrodontomys tenuis"
"reithrodontomys fulvescens","reithrodontomys mexicanus aurantius"
"reithrodontomys fulvescens","reithrodontomys fulvescens canus"
"reithrodontomys fulvescens","reithrodontomys fulvescens chiapensis"
"reithrodontomys fulvescens","reithrodontomys griseoflavus helvolus"
"reithrodontomys fulvescens","reithrodontomys fulvescens infernatis"
"reithrodontomys fulvescens","reithrodontomys mexicanus intermedius"
"reithrodontomys fulvescens","reithrodontomys fulvescens meridionalis"
"reithrodontomys fulvescens","reithrodontomys fulvescens mustelinus"
"reithrodontomys fulvescens","reithrodontomys fulvescens nelsoni"
"reithrodontomys fulvescens","reithrodontomys levipes toltecus"
"reithrodontomys fulvescens","reithrodontomys fulvescens tropicalis"
"reithrodontomys megalotis","reithrodontomys megalotis"
"reithrodontomys megalotis","reithrodontomys amoles"
"reithrodontomys megalotis","reithrodontomys arizonensis"
"reithrodontomys megalotis","reithrodontomys aztecus"
"reithrodontomys megalotis","rhithrodontomys catalinae"
"reithrodontomys megalotis","reithrodontomys dychei"
"reithrodontomys megalotis","rhithrodontomys peninsulae"
"reithrodontomys megalotis","reithrodontomys saturatus alticolus"
"reithrodontomys megalotis","reithrodontomys megalotis distichlis"
"reithrodontomys megalotis","reithrodontomys megalotis limicola"
"reithrodontomys megalotis","reithrodontomys dychei nebrascensis"
"reithrodontomys megalotis","reithrodontomys megalotis ravus"
"reithrodontomys megalotis","reithrodontomys megalotis santacruzae"
"reithrodontomys megalotis","reithrodontomys megalotis arizonensis"
"reithrodontomys mexicanus","reithrodontomys mexicanus"
"reithrodontomys mexicanus","hesperomys cherrii"
"reithrodontomys mexicanus","reithrodontomys mexicanus garichensis"
"reithrodontomys mexicanus","reithrodontomys mexicanus howelli"
"reithrodontomys mexicanus","reithrodontomys costaricensis jalapae"
"reithrodontomys mexicanus","reithrodontomys mexicanus lucifrons"
"reithrodontomys mexicanus","reithrodontomys mexicanus minusculus"
"reithrodontomys mexicanus","reithrodontomys mexicanus ocotepequensis"
"reithrodontomys mexicanus","reithrodontomys mexicanus orinus"
"reithrodontomys mexicanus","reithrodontomys mexicanus potrerograndei"
"reithrodontomys mexicanus","reithrodontomys mexicanus riparius"
"reithrodontomys mexicanus","reithrodontomys mexicanus scansor"
"reithrodontomys sumichrasti","reithrodontomys sumichrasti"
"reithrodontomys sumichrasti","reithrodontomys alleni"
"reithrodontomys sumichrasti","reithrodontomys australis"
"reithrodontomys sumichrasti","reithrodontomys dorsalis"
"reithrodontomys sumichrasti","reithrodontomys modestus"
"reithrodontomys sumichrasti","reithrodontomys rufescens"
"reithrodontomys sumichrasti","reithrodontomys rufescens luteolus"
"reithrodontomys sumichrasti","reithrodontomys colimae nerterus"
"reithrodontomys sumichrasti","reithrodontomys levipes otus"
"reithrodontomys sumichrasti","reithrodontomys chrysopsis seclusus"
"reithrodontomys sumichrasti","reithrodontomys australis vulcanius"
"rhabdomys dilectus","rhabdomys dilectus"
"rhabdomys dilectus","rhabdomys pumilio algoae"
"rhabdomys dilectus","rhabdomys pumilio bethuliensis"
"rhabdomys dilectus","arvicanthis pumilio chakae"
"rhabdomys dilectus","rhabdomys pumilio cradockensis"
"rhabdomys dilectus","rhabdomys pumilio griquoides"
"rhabdomys dilectus","arvicanthis pumilio moshesh"
"rhabdomys dilectus","rhabdomys pumilio vaalensis"
"rhabdomys pumilio","rhabdomys pumilio"
"rhabdomys pumilio","mus donavani"
"rhabdomys pumilio","mus lineatus"
"rhabdomys pumilio","mus septemvittatus"
"rhabdomys pumilio","mus vittatus"
"rhabdomys pumilio","isomys pumilio bechuanae"
"rhabdomys pumilio","arvicanthis pumilio cinereus"
"rhabdomys pumilio","arvicanthis pumilio deserti"
"rhabdomys pumilio","rhabdomys pumilio fouriei"
"rhabdomys pumilio","arvicanthis pumilio griquae"
"rhabdomys pumilio","arvicanthis pumilio intermedius"
"rhabdomys pumilio","mus pumilio major"
"rhabdomys pumilio","arvicanthis pumilio meridionalis"
"rhabdomys pumilio","rhabdomys pumilio namaquensis"
"rhabdomys pumilio","rhabdomys pumilio namibensis"
"rhabdomys pumilio","rhabdomys pumilio orangiae"
"rhabdomys pumilio","rhabdomys pumilio prieskae"
"rhinoceros unicornis","rhinoceros unicornis"
"rhinoceros unicornis","rhinoceros asiaticus"
"rhinoceros unicornis","rhinoceros indicus"
"rhinoceros unicornis","rhinoceros jamrachi"
"rhinoceros unicornis","rhinoceros stenocephalus"
"rhinoceros unicornis","rhinoceros rugosus"
"rhinoceros unicornis","rhinoceros unicornis bengalensis"
"rhinolophus acuminatus","rhinolophus acuminatus"
"rhinolophus affinis","rhinolophus affinis"
"rhinolophus alcyone","rhinolophus alcyone"
"rhinolophus arcuatus","rhinolophus arcuatus"
"rhinolophus arcuatus","rhinolophus anderseni"
"rhinolophus blasii","rhinolophus blasii"
"rhinolophus blythi","lookup fail"
"rhinolophus capensis","rhinolophus capensis"
"rhinolophus clivosus","rhinolophus clivosus"
"rhinolophus coelophyllus","rhinolophus coelophyllus"
"rhinolophus cornutus","rhinolophus cornutus"
"rhinolophus creaghi","rhinolophus creaghi"
"rhinolophus darlingi","rhinolophus darlingi"
"rhinolophus darlingi","rhinolophus darlingi darlingi"
"rhinolophus denti","rhinolophus denti"
"rhinolophus eloquens","rhinolophus eloquens"
"rhinolophus euryale","rhinolophus euryale"
"rhinolophus euryale","rhinolophus euryale euryale"
"rhinolophus ferrumequinum","rhinolophus ferrumequinum"
"rhinolophus ferrumequinum","rhinolophus ferrumequinum korai"
"rhinolophus fumigatus","rhinolophus fumigatus"
"rhinolophus hildebrandti","rhinolophus hildebrandti"
"rhinolophus hildebrandti","rhinolophus hildebrandti"
"rhinolophus hipposideros","rhinolophus hipposideros"
"rhinolophus landeri","rhinolophus landeri"
"rhinolophus landeri","rhinolophus landeri landeri"
"rhinolophus lepidus","rhinolophus lepidus"
"rhinolophus lobatus","rhinolophus lobatus"
"rhinolophus lobatus","rhinolophus angolensis"
"rhinolophus lobatus","rhinolophus landeri angolensis"
"rhinolophus lobatus","rhinolophus landeri lobatus"
"rhinolophus luctus","rhinolophus luctus"
"rhinolophus macrotis","rhinolophus macrotis"
"rhinolophus malayanus","rhinolophus malayanus"
"rhinolophus megaphyllus","rhinolophus megaphyllus"
"rhinolophus mehelyi","rhinolophus mehelyi"
"rhinolophus monoceros","rhinolophus monoceros"
"rhinolophus paradoxolophus","lookup fail"
"rhinolophus pearsonii","rhinolophus pearsonii"
"rhinolophus pearsonii","rhinolophus pearsoni"
"rhinolophus pusillus","rhinolophus pusillus"
"rhinolophus rex","rhinolophus rex"
"rhinolophus rhodesiae","rhinolophus rhodesiae"
"rhinolophus rouxii","rhinolophus rouxii"
"rhinolophus rouxii","rhinolophus rouxi"
"rhinolophus shameli","rhinolophus shameli"
"rhinolophus shameli","rhinolophus coelophyllus shameli"
"rhinolophus simulator","rhinolophus simulator"
"rhinolophus simulator","rhinolophus simulator simulator"
"rhinolophus sinicus","rhinolophus sinicus"
"rhinolophus stheno","rhinolophus stheno"
"rhinolophus stheno","rhinolophus stheno stheno"
"rhinolophus thomasi","rhinolophus thomasi"
"rhinolophus thomasi","rhinolophus thomasi thomasi"
"rhinolophus thomasi","rhinolophus thomasi latifolius"
"rhinolophus trifoliatus","rhinolophus trifoliatus"
"rhinonicteris aurantia","rhinonicteris aurantia"
"rhinonicteris aurantia","rhinolophus aurantius"
"rhinonicteris aurantia","rhinonycteris aurantius"
"rhinophylla pumilio","rhinophylla pumilio"
"rhinopithecus roxellana","rhinopithecus roxellana"
"rhinopoma hardwickii","rhinopoma hardwickii"
"rhinopoma hardwickii","rhinopoma hardwickei"
"rhinopoma hardwickii","rhinopoma hardwickii hardwickii"
"rhinopoma hardwickii","rhinopoma hardwickii sondaicum"
"rhinosciurus laticaudatus","rhinosciurus laticaudatus"
"rhizomys pruinosus","rhizomys pruinosus"
"rhizomys pruinosus","rhizomys latouchei"
"rhizomys pruinosus","rhizomys pannosus"
"rhizomys pruinosus","rhizomys prusianus"
"rhizomys pruinosus","rhizomys senex"
"rhizomys sinensis","rhizomys sinensis"
"rhizomys sinensis","rhizomys chinensis"
"rhizomys sinensis","rhizomys davidi"
"rhizomys sinensis","rhizomys vestitus"
"rhizomys sinensis","rhizomys wardi"
"rhogeessa parvula","rhogeessa parvula"
"rhogeessa tumida","rhogeessa tumida"
"rhombomys opimus","rhombomys opimus"
"rhombomys opimus","gerbillus giganteus"
"rhombomys opimus","rhombomys pallidus"
"rhombomys opimus","rhombomys opimus alaschanicus"
"rhombomys opimus","gerbillus opimus dalversinicus"
"rhombomys opimus","rhombomys opimus fumicolor"
"rhombomys opimus","gerbillus opimus nigrescens"
"rhombomys opimus","rhombomys opimus pevzovi"
"rhombomys opimus","rhombomys opimus sargadensis"
"rhombomys opimus","rhombomys opimus sodalis"
"rhynchonycteris naso","rhynchonycteris naso"
"rhynchonycteris naso","vespertilio naso"
"rousettus aegyptiacus","rousettus aegyptiacus"
"rousettus aegyptiacus","rousettus egyptiacus"
"rousettus amplexicaudatus","rousettus amplexicaudatus"
"rousettus leschenaultii","rousettus leschenaultii"
"rousettus leschenaultii","rousettus leschenaulti"
"rousettus leschenaultii","pteropus leschenaultii"
"rousettus madagascariensis","rousettus madagascariensis"
"rucervus duvaucelii","rucervus duvaucelii"
"rucervus duvaucelii","cervus duvaucelii"
"rucervus duvaucelii","cervus eldi"
"rupicapra pyrenaica","rupicapra pyrenaica"
"rupicapra rupicapra","rupicapra rupicapra"
"rusa alfredi","rusa alfredi"
"rusa alfredi","cervus alfredi"
"rusa timorensis","rusa timorensis"
"rusa timorensis","cervus timorensis"
"rusa unicolor","rusa unicolor"
"rusa unicolor","cervus unicolor"
"ruwenzorisorex suncoides","ruwenzorisorex suncoides"
"saccolaimus flaviventris","saccolaimus flaviventris"
"saccolaimus flaviventris","taphozous flaviventris"
"saccolaimus saccolaimus","saccolaimus saccolaimus"
"saccopteryx bilineata","saccopteryx bilineata"
"saccopteryx bilineata","urocryptus bilineatus"
"saguinus geoffroyi","saguinus geoffroyi"
"saguinus geoffroyi","oedipomidas salaquiensis"
"saguinus geoffroyi","jacchus spixii"
"saguinus imperator","saguinus imperator"
"saguinus labiatus","saguinus labiatus"
"saguinus midas","saguinus midas"
"saguinus midas","simia lacepedii"
"saguinus midas","midas rufimanus"
"saguinus midas","cebus tamarin"
"saguinus midas","leontocebus midas egens"
"saguinus mystax","saguinus mystax"
"saguinus oedipus","saguinus oedipus"
"saguinus oedipus","seniocebus meticulous"
"saguinus oedipus","oedipus titi"
"saiga tatarica","saiga tatarica"
"saimiri boliviensis","saimiri boliviensis"
"saimiri oerstedii","saimiri oerstedii"
"saimiri sciureus","saimiri sciureus"
"saimiri sciureus","simia apedia"
"saimiri sciureus","lemur leucopsis"
"saimiri sciureus","simia morta"
"saimiri sciureus","chrysothrix nigrivittata"
"saimiri sciureus","sapajou saimiri"
"saimiri sciureus","saimiri sciureus sciureus"
"saimiri ustus","saimiri ustus"
"saimiri ustus","saimiri madeirae"
"sapajus apella","sapajus apella"
"sapajus apella","cebus apella"
"sapajus apella","sapajus macrocephalus"
"sapajus apella","cebus capillatus"
"sapajus apella","cebus cirrifer"
"sapajus apella","cebus crassiceps"
"sapajus apella","cebus cristatus"
"sapajus apella","cebus frontatus"
"sapajus apella","cebus leucogenys"
"sapajus apella","cebus lunatus"
"sapajus apella","cebus monachus"
"sapajus apella","cebus niger"
"sapajus apella","cebus subcristatus"
"sapajus apella","simia variegata"
"sapajus apella","cebus azarae"
"sapajus apella","cebus versuta"
"sapajus apella","cebus apella macrocephalus"
"sapajus apella","cebus apella magnus"
"sapajus apella","cebus apella maranonis"
"sapajus apella","cebus apella peruanus"
"sapajus apella","cebus apella tocantinus"
"sapajus apella","cebus apella chacoensis"
"sapajus apella","cebus libidinosus juruanus"
"sapajus apella","cebus apella morrulus"
"sapajus apella","cebus libidinosus pallidus"
"sapajus apella","cebus libidinosus paraguayanus"
"sapajus apella","cebus libidinosus sagitta"
"sapajus cay","sapajus cay"
"sapajus flavius","sapajus flavius"
"sapajus flavius","sapajus flavius"
"sapajus flavius","simia flavia"
"sapajus flavius","cebus flavius"
"sapajus libidinosus","sapajus libidinosus"
"sapajus libidinosus","cebus libidinosus"
"sapajus libidinosus","cebus elegans"
"sapajus nigritus","sapajus nigritus"
"sapajus nigritus","cebus nigritus"
"sapajus nigritus","cebus caliginosus"
"sapajus nigritus","cebus vellerosus"
"sapajus nigritus","cebus xanthocephalus"
"sapajus xanthosternos","lookup fail"
"sarcophilus harrisii","sarcophilus harrisii"
"scalopus aquaticus","scalopus aquaticus"
"scaptonyx fusicaudus","scaptonyx fusicaudus"
"scarturus elater","lookup fail"
"sciurus carolinensis","sciurus carolinensis"
"sciurus granatensis","sciurus granatensis"
"sciurus griseus","sciurus griseus"
"sciurus niger","sciurus niger"
"sciurus variegatoides","sciurus variegatoides"
"sciurus vulgaris","sciurus vulgaris"
"scotinomys xerampelinus","scotinomys xerampelinus"
"scotinomys xerampelinus","scotinomys harrisi"
"scotinomys xerampelinus","scotinomys longipilosus"
"scotophilus dinganii","scotophilus dinganii"
"scotophilus dinganii","vespertilio dinganii"
"scotophilus dinganii","scotophilus dinganii dinganii"
"scotophilus dinganii","scotophilus dinganii herero"
"scotophilus dinganii","scotophilus dinganii pondoensis"
"scotophilus dinganii","scotophilus nigrita herero"
"scotophilus dinganii","scotophilus nigrita pondoensis"
"scotophilus heathii","scotophilus heathii"
"scotophilus heathii","scotophilus heathi"
"scotophilus heathii","nycticejus heathii"
"scotophilus heathii","scotophilus heathii heathii"
"scotophilus heathii","scotophilus heathii insularis"
"scotophilus heathii","scotophilus heathii watkinsi"
"scotophilus heathii","scotophilus solutatus watkinsi"
"scotophilus heathii","scotophilus kuhlii insularis"
"scotophilus kuhlii","scotophilus kuhlii"
"scotophilus kuhlii","scotophilus castaneus"
"scotophilus kuhlii","scotophilus gairdneri"
"scotophilus kuhlii","vespertilio temminckii"
"scotophilus kuhlii","scotophilus kuhlii kuhlii"
"scotophilus kuhlii","scotophilus kuhlii castaneus"
"scotophilus kuhlii","scotophilus kuhlii consobrinus"
"scotophilus kuhlii","scotophilus kuhlii gairdneri"
"scotophilus kuhlii","scotophilus kuhlii panayensis"
"scotophilus kuhlii","scotophilus kuhlii solutatus"
"scotophilus kuhlii","scotophilus kuhlii temminckii"
"scotophilus kuhlii","pachyotis temmincki panayensis"
